overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style
5.0,True,"10 17, 2015",A1HP7NVNPFMA4N,0700026657,Ambrosia075,"This game is a bit hard to get the hang of, but when you do it's great.",but when you do it's great.,1445040000,,
4.0,False,"07 27, 2015",A1JGAP0185YJI6,0700026657,travis,"I played it a while but it was alright. The steam was a bit of trouble. The more they move these game to steam the more of a hard time I have activating and playing a game. But in spite of that it was fun, I liked it. Now I am looking forward to anno 2205 I really want to play my way to the moon.","But in spite of that it was fun, I liked it",1437955200,,
5.0,True,"12 25, 2014",A2RF5B5H74JLPE,0700026657,jon,"great game, I love it and have played it since its arrived",love this game,1419465600,,
4.0,True,"11 13, 2014",A11V6ZJ2FVQY1D,0700026657,IBRAHIM ALBADI,i liked a lot some time that i haven't play a wonderfull game very simply and funny game verry good game.,Anno 2070,1415836800,,
5.0,True,"03 3, 2014",A1WK5I4874S3O2,0700026657,WhiteSkull,"I bought this game thinking it would be pretty cool and that i might play it for a  week or two and be done.  Boy was I wrong! From the moment I finally got the gamed Fired up (the other commentors on this are right, it takes forever and u are forced to create an account) I watched as it booted up I could tell right off the bat that ALOT of thought went into making this game. If you have ever played Sim city, then this game is a must try as you will easily navigate thru it and its multi layers. I have been playing htis now for a month straight, and I am STILL discovering layers of complexity in the game. There are a few things in the game that could used tweaked, but all in all this is a 5 star game.",A very good game balance of skill with depth of choices,1393804800,,
5.0,True,"02 21, 2014",AV969NA4CBP10,0700026657,Travis B. Moore,I have played the old anno 1701 AND 1503.  this game looks great but is more complex than the previous versions of the game. I found a lot of things lacking such as the sources of power and an inability to store energy with batteries or regenertive fuel cells as buildings in the game need power. Trade is about the same. My main beef with this it requires an internet connection. Other than that it has wonderful artistry and graphics. It is the same as anno 1701 but set in a future world where global warmming as flood the land and resource scarcity has sent human kind to look to the deep ocean for valuable minerals. I recoment the deep ocean expansion or complete if you get this. I found the ai instructor a little corny but other than that the game has some real polish. I wrote my 2 cents worth on suggestions on anno 2070 wiki and you can read 3 pages on that for game ideas I had.,Anno 2070 more like anno 1701,1392940800,,
4.0,True,"06 27, 2013",A1EO9BFUHTGWKZ,0700026657,johnnyz3,"I liked it and had fun with it, played for a while and got my money's worth.  You can certainly go further than I did but I got frustrated with the fact that here we are in this new start and still taking from the earth rather than living with it. Better than simcity in that respect and maybe the best we could hope for.",Pretty fun,1372291200,,
4.0,True,"12 28, 2012",A2M8JTIST6FPZZ,0700026657,Amazon Customer,4 Stars because they like it and play it often enough so don't feel like money is wasted. I got them one each so they can multiplay with each other.,My boys enjoys these strategy games,1356652800,,
5.0,True,"08 14, 2011",AN3YYDZAS3O1Y,0700099867,Bob,"Loved playing Dirt 2 and I thought the graphics were good.  Purchased Dirt 3 as an addition to the other...and the graphics are absolutely ""Gorgeous""  If you liked Dirt or Dirt 2...you are going to love Dirt 3.  The game was easier to configure with my Logitech wireless rumblepad...and with my EVGA GTX 580, and all detail set to full on graphics at 1920 x 1080 I get over 100 fps.  The game looks good, plays well and is a blast!",A step up from Dirt 2 and that is terrific!,1313280000,11,
5.0,False,"06 28, 2011",A38NXTZUFB1O2K,0700099867,FiSH,"I'm not quite finished with the game's DiRT Tour mode, but I believe I've experienced the bulk of what the game has to offer.  And I'm happy to say that the game is indeed awesome.  Great cars, great tracks and racing modes, excellent gameplay and graphics.  The highlight has been racing in the snow on various tracks in Aspen.  There are also some really cool obstacle courses on pavement, which are new to the series.

At first, I felt that the game was plagued with the same difficulty spike DiRT 2 had, where you can win any race without trying on casual difficulty, then lose big time on medium.  Then I found the custom difficulty settings where you can choose from 5 levels of challenge, then pick and choose from all the other assists and handling options.  Basically, you can let the game play itself by just holding the throttle and steering, or take gradual steps to reach what you feel works best for you.  Love this feature!  Sadly, there is no option to increase the 360 controller's dead zone or adjust the sensitivity.  I'm doing ok as is, but some tweaking would be ideal.

Much like the previous two games, the handling is a bit flighty.  But that's speeding on loose ground for you.  Still, I feel things have tightened up somewhat since DiRT 2.  Still no cigar, but it's a step forward.  The game runs as smooth as silk on my 560ti wih all the settings maxed.  No issues whatsoever.  If you enjoy racing games, this is not one you should ignore.  It's the best DiRT so far.",Best in the series!,1309219200,,
5.0,False,"06 18, 2011",A15PIAQT55GNCA,0700099867,Suk W. Yu,lot of people don't like RALLY because they already tried gran turismo game. to tell you the truth gran turismo RALLY physic is just boring boring boring. gran turismo only good for racing simulation but RALLY part is suck!!!!  dirt 2 amazed me how much fun it was and now dirt 3 with 3 time more race tracks than dirt 2.  MUST BUY!!!!!!!!!!,this games is amazing!!!!!!!!,1308355200,,
4.0,True,"06 14, 2011",A361M14PU2GUEG,0700099867,Angry Ryan,I had Dirt 2 on Xbox 360 and it was an okay game. I started playing games on my laptop and bought a few new games to build my collection. This game is very fun to play. It is so much better than Dirt 2. If you like racing games you should check this out. The graphics are perfect on my compter.,DIRT 3,1308009600,2,
5.0,False,"06 13, 2011",A2LQCBLLJVVR5T,0700099867,Timmiley,"This is a must have for any gamer. Codemasters really hit a home run on this one. I would like to see F1 2011 be this good using the ego engine 2.0 and the physics model in this game is right on the money. This game is the reason everyone should buy the best graphics card they can afford. I am using a nvidia 460 overclocked, and I have on order a 590. I want to run this game with everything on highest level. I swear to you that even with the 460 + , the graphics are very realistic and I really enjoy racing at ground level. This game makes Codemasters the king of graphics realism. BUY THIS GAME !!!!!

December 6, 2011  I saw my review of the Internet and wanted to update it for you. First of all anyone with this program, BUY the extra environments and cars. It is money well spent and a first class job of an addon. I wanted everyone to know that this program is still the top of the heap in graphics. I bought Battlefield 3 and it is good, but not the standard of the ego 2 engine. Codemasters are the king of graphics so far and I find that the more realism a game has, the more adicted you will become. No other program running with all variables to the max, looks like Dirt 3. Thank God for codemasters and I can hardly wait for GRID 2 in the summer.",BEST GRAPHICS OF ANY GAME SO FAR !!!!,1307923200,14,
4.0,False,"12 26, 2012",A2GPRA9HHLOC4B,0700026398,Wicasawakan,"I will open with the Pros:
Replayability - It's Hitman. What did you expect? You can go back and replay missions over and over to try for a cleaner, quicker kill or just fly right through it in a weekend like I did.
Length of game - Do not listen to reviews such as Xbox Official Magazine saying it is a lengthy game. I finished it in one weekend. Friday night, Sat and Sunday. I would estimate around 10-12 hours solid play. BUT..If you go back and replay the missions for a better score, then it can drag out much further. But like I said, to play through and complete the tasks, it is not a long game.
Story - Not bad at all. A few plot holes made me scratch my head but not bad.
Overall Graphics - Better than the old Hitman games but nothing at all like cut scenes. Don't confuse cut scenes in the trailers as gameplay.
Character dev - Although they give you a little info on specific targets, it didn't seem worth the effort to look any deeper into their back story. I just went forth on a killing spree. You point me in that direction? Here I go. There's no option to ever take a person into custody and question them. You kill anyone who you are pointed at.
Hand to hand - They kept it simple. between space bar, ""Q, W or E"" were your controls to hit when it told you to hit that key. It wasn't hard to do hand to hand. It wasn't 100% awesome like Batman but it was pretty good.
Cons:
OMG why did all the people in close-up cut scenes talk with all their teeth showing? It really got annoying. I have never in my life met a person who talks like that. Also, the timing of the voice acting was bad. Serious delays in dialogue had me thinking the conversation was over then it started up again. So, voice acting wasn't bad, but developers did a poor job clipping it.
Graphics - In regards to clipping, I would sometimes get blocked by phantom walls while sneaking up steps. I had to walk back and forth until it let me pass. Also, it would say there was a key point right in front of me (blinking sonar circles) and there was nothing there. No desk, nothing to pick up and it was floating in the air. More developer issues.
(Minor Spoiler) Don't read if you can't take hints.
Sheer ease of killing other professional hitmen was a let down. I couldn't believe how easy it was to kill hired professionals.

Professional Edition: Do not waste your money. I got some weapons you can't even use in the game. It gives you the loadout at the begining and the weapons around the map are all based off that part of the game. No point in having access to the additional weapons.
Sniper challenge is ONE challenge. I beat it hands down and it never took me to a new challenge. It just lets you do the same challenge over and over.
All in all, it's a good game discounted at 1/2 price or lower. Don't waste your $ on the Pro Edition.",Great game with design flaws,1356480000,12,
5.0,True,"04 6, 2015",A2LVV3GA8LN557,0700099867,Mike A. Darsch,i like bf games and this works with my wireless xbox 360 controller ( i don't have a xbox i use it for pc games),i like bf games and this works with my wireless xbox ...,1428278400,,
4.0,True,"01 31, 2015",A2RGUDIF7VB7JZ,0700026398,Johnathan Scott,Good game,Four Stars,1422662400,,
